II_DEFAULT|10|IK1_SYSTEM|IK2_GOLD|IK3_GOLD|null
II_WEA_HAN_HAND|11|IK1_WEAPON|IK2_WEAPON_HAND|IK3_HAND|Hand
II_GOLD_SEED1|12|IK1_GOLD|IK2_GOLD|IK3_GOLD|Penya
II_GOLD_SEED2|13|IK1_GOLD|IK2_GOLD|IK3_GOLD|Penya
II_GOLD_SEED3|14|IK1_GOLD|IK2_GOLD|IK3_GOLD|Penya
II_GOLD_SEED4|15|IK1_GOLD|IK2_GOLD|IK3_GOLD|Penya
II_WEA_SWO_WOODEN|21|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Wooden Sword
II_WEA_SWO_LONG|23|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Long Sword
II_WEA_SWO_HANDCLAW|25|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Hand Claw
II_WEA_SWO_PARMIL|27|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Parmil Sword
II_WEA_SWO_PETAL|29|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Petal Sword
II_WEA_SWO_BLINK|31|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Blink Sword
II_WEA_SWO_OUTLAW|33|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Outlaw Sword
II_WEA_SWO_FAIRSLENDER|35|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Fairslender Sword
II_WEA_SWO_CLIP|37|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Clip Sword
II_WEA_SWO_TAO|39|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Tao Sword
II_WEA_SWO_SEPAL|41|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Sepal Sword
II_WEA_SWO_CYLOS|43|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Cylos Sword
II_WEA_SWO_INVADER|45|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Invader Sword
II_WEA_SWO_STITCH|47|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Stitch Sword
II_WEA_SWO_MULTIBLADE|49|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Multiblade Sword
II_WEA_SWO_PANGGRIL|51|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Panggril Sword
II_WEA_SWO_CARNAGE|53|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Carnage Sword
II_WEA_SWO_JANITOR|55|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Janitor Sword
II_WEA_SWO_BLUEJADE|57|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Blue Jade Sword
II_WEA_SWO_ZEROTH|59|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Zeroth Sword
II_WEA_SWO_CRIMSON|61|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Crimson Sword
II_WEA_SWO_EMERYL|63|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Emeryl Sword
II_WEA_SWO_CHAINSING|65|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Chainsing Sword
II_WEA_SWO_HARPION|67|IK1_WEAPON|IK2_WEAPON_DIRECT|IK3_SWD|Harpion Sword
